x1,y1,x2,y2
626,20,1577,991
1577,991,560,38
560,38,196,1325
196,1325,534,46
534,46,831,1600
831,1600,470,72
470,72,534,1555
534,1555,253,217
253,217,1353,1379
1353,1379,573,34
573,34,600,1575
600,1575,804,1
804,1,1418,1309
1418,1309,1150,81
1150,81,749,1599
749,1599,29,590
29,590,600,1575
600,1575,495,61
495,61,145,1260
145,1260,482,66
482,66,1311,1416
1311,1416,421,96
421,96,482,1535
482,1535,1600,814
1600,814,373,124
373,124,445,1517
445,1517,1598,869
1598,869,534,46
534,46,1544,1096
1544,1096,385,1484
385,1484,153,330
153,330,421,1505
421,1505,339,147
339,147,560,1563
560,1563,1591,677
1591,677,385,117
385,117,1583,965
1583,965,653,14
653,14,995,1577
995,1577,640,17
640,17,1581,978
1581,978,573,34
573,34,205,1335
205,1335,373,124
373,124,187,1314
187,1314,560,38
560,38,859,1598
859,1598,1125,69
1125,69,1391,1340
1391,1340,981,21
981,21,445,1517
445,1517,161,319
161,319,1363,1370
1363,1370,708,6
708,6,1503,1183
1503,1183,927,11
927,11,653,1587
653,1587,900,7
900,7,1400,1330
1400,1330,1187,100
1187,100,927,1590
927,1590,749,2
749,2,1290,1433
1290,1433,886,5
886,5,1482,1219
1482,1219,1008,28
1008,28,1460,1254
1460,1254,306,1429
306,1429,1482,1219
1482,1219,1048,40
1048,40,1444,1276
1444,1276,373,1477
373,1477,327,155
327,155,445,1517
445,1517,1599,856
1599,856,433,1511
433,1511,941,13
941,13,1435,1287
1435,1287,385,1484
385,1484,408,103
408,103,573,1567
573,1567,65,486
65,486,653,1587
653,1587,694,8
694,8,927,1590
927,1590,626,20
626,20,640,1584
640,1584,613,23
613,23,1332,1398
1332,1398,900,7
900,7,433,1511
433,1511,178,297
178,297,873,1597
873,1597,626,20
626,20,16,958
16,958,613,23
613,23,831,1600
831,1600,1234,128
1234,128,804,1600
804,1600,445,84
445,84,600,1575
600,1575,421,96
421,96,108,1201
108,1201,408,103
408,103,508,1545
508,1545,196,276
196,276,445,1517
445,1517,108,400
108,400,1311,185
1311,185,600,1575
600,1575,560,38
560,38,1343,1389
1343,1389,1021,32
1021,32,1409,1319
1409,1319,927,11
927,11,1382,1350
1382,1350,845,2
845,2,613,1578
613,1578,50,524
50,524,573,1567
573,1567,295,181
295,181,521,1550
521,1550,234,236
234,236,1554,530
1554,530,263,208
263,208,1586,650
1586,650,421,96
421,96,224,1355
224,1355,408,103
408,103,457,1523
457,1523,1577,991
1577,991,445,1517
445,1517,145,341
145,341,1353,1379
1353,1379,640,17
640,17,25,998
25,998,1322,194
1322,194,19,971
19,971,667,12
667,12,1008,1573
1008,1573,708,6
708,6,954,1586
954,1586,653,14
653,14,886,1596
886,1596,1099,58
1099,58,1452,1265
1452,1265,350,1462
350,1462,253,217
253,217,1382,1350
1382,1350,776,1
776,1,1522,1147
1522,1147,339,1454
339,1454,1533,1122
1533,1122,327,1446
327,1446,1475,1231
1475,1231,1074,49
1074,49,1444,1276
1444,1276,170,308
170,308,1372,1360
1372,1360,749,2
749,2,1409,1319
1409,1319,995,24
995,24,1427,1298
1427,1298,397,1491
397,1491,886,5
886,5,626,1581
626,1581,508,56
508,56,1322,1407
1322,1407,667,12
667,12,1391,1340
1391,1340,968,18
968,18,1482,1219
1482,1219,873,4
873,4,653,1587
653,1587,653,14
653,14,29,1011
29,1011,600,26
600,26,831,1600
831,1600,495,61
495,61,547,1559
547,1559,433,90
433,90,534,1555
534,1555,1596,718
1596,718,316,164
316,164,263,1393
263,1393,295,181
295,181,470,1529
470,1529,205,266
205,266,547,1559
547,1559,339,147
339,147,1322,1407
1322,1407,927,11
927,11,749,1599
749,1599,19,630
19,630,640,1584
640,1584,60,498
60,498,694,1593
694,1593,1528,467
1528,467,680,1591
680,1591,708,6
708,6,1332,1398
1332,1398,521,51
521,51,560,1563
560,1563,1589,663
1589,663,224,246
224,246,1566,570
1566,570,284,189
284,189,1544,505
1544,505,694,1593
694,1593,22,616
22,616,763,1600
763,1600,1268,151
1268,151,1245,1465
1245,1465,1257,143
1257,143,763,1600
763,1600,859,3
859,3,626,1581
626,1581,613,23
613,23,14,944
14,944,600,26
600,26,573,1567
573,1567,547,42
547,42,101,1190
101,1190,397,110
397,110,130,1237
130,1237,385,117
385,117,1581,623
1581,623,274,198
274,198,385,1484
385,1484,178,297
178,297,373,1477
373,1477,170,308
170,308,1409,282
1409,282,6,890
6,890,708,6
708,6,941,1588
941,1588,482,66
482,66,470,1529
470,1529,1599,759
1599,759,316,164
316,164,534,1555
534,1555,1586,650
1586,650,445,84
445,84,234,1365
234,1365,433,90
433,90,1554,1071
1554,1071,694,8
694,8,914,1592
914,1592,1162,87
1162,87,1452,1265
1452,1265,1125,69
1125,69,749,1599
749,1599,1222,121
1222,121,1322,1407
1322,1407,361,132
361,132,1598,732
1598,732,534,46
534,46,776,1600
776,1600,4,725
4,725,804,1600
804,1600,653,14
653,14,1301,1425
1301,1425,804,1
804,1,1400,1330
1400,1330,995,24
995,24,25,603
25,603,600,1575
600,1575,613,23
613,23,1554,1071
1554,1071,339,1454
339,1454,1452,1265
1452,1265,1087,53
1087,53,845,1599
845,1599,153,330
153,330,1353,1379
1353,1379,735,3
735,3,1021,1569
1021,1569,721,4
721,4,968,1583
968,1583,495,61
495,61,170,1293
170,1293,433,90
433,90,82,1153
82,1153,421,96
421,96,1544,505
1544,505,680,1591
680,1591,613,23
613,23,1301,1425
1301,1425,900,7
900,7,1452,1265
1452,1265,831,1
831,1,408,1498
408,1498,1418,1309
1418,1309,1048,40
1048,40,1363,1370
1363,1370,914,9
914,9,749,1599
749,1599,196,276
196,276,421,1505
421,1505,122,376
122,376,534,1555
534,1555,243,226
243,226,482,1535
482,1535,1591,924
1591,924,586,30
586,30,215,1345
215,1345,573,34
573,34,653,1587
653,1587,76,460
76,460,521,1550
521,1550,1600,787
1600,787,482,1535
482,1535,1574,1005
1574,1005,667,12
667,12,900,1594
900,1594,1112,64
1112,64,1467,1242
1467,1242,1137,75
1137,75,914,1592
914,1592,88,436
88,436,1222,121
1222,121,613,1578
613,1578,470,72
470,72,818,1600
818,1600,573,34
573,34,995,1577
995,1577,547,42
547,42,205,1335
205,1335,445,84
445,84,495,1540
495,1540,350,139
350,139,274,1403
274,1403,457,78
457,78,122,1225
122,1225,373,124
373,124,1593,691
1593,691,274,198
274,198,1391,1340
1391,1340,196,276
196,276,1509,430
1509,430,2,752
2,752,1503,418
1503,418,243,226
243,226,1595,704
1595,704,521,1550
521,1550,161,319
161,319,1418,292
1418,292,3,862
3,862,708,6
708,6,2,849
2,849,1435,314
1435,314,153,330
153,330,873,1597
873,1597,573,34
573,34,626,1581
626,1581,482,66
482,66,573,1567
573,1567,534,46
534,46,153,1271
153,1271,373,124
373,124,573,1567
573,1567,253,217
253,217,433,1511
433,1511,108,400
108,400,508,1545
508,1545,1581,623
1581,623,445,84
445,84,1522,454
1522,454,11,931
11,931,600,26
600,26,1301,1425
1301,1425,845,2
845,2,1522,1147
1522,1147,640,17
640,17,886,1596
886,1596,1087,53
1087,53,1435,1287
1435,1287,361,1469
361,1469,1444,1276
1444,1276,818,1
818,1,749,1599
749,1599,1516,442
1516,442,9,917
9,917,600,26
600,26,1008,1573
1008,1573,694,8
694,8,1353,1379
1353,1379,1199,107
1199,107,1409,1319
1409,1319,421,1505
421,1505,145,341
145,341,1322,194
1322,194,1174,1508
1174,1508,1301,176
1301,176,115,388
115,388,1268,151
1268,151,45,1064
45,1064,508,56
508,56,41,1051
41,1051,495,61
495,61,776,1600
776,1600,11,670
11,670,708,1595
708,1595,1549,518
1549,518,397,110
397,110,170,1293
170,1293,361,132
361,132,560,1563
560,1563,445,84
445,84,397,1491
397,1491,1503,1183
1503,1183,373,1477
373,1477,1427,1298
1427,1298,1061,44
1061,44,1391,1340
1391,1340,749,2
749,2,1035,1565
1035,1565,735,3
735,3,1382,1350
1382,1350,941,13
941,13,1332,1398
1332,1398,680,10
680,10,667,1589
667,1589,37,563
37,563,735,1598
735,1598,16,643
16,643,626,1581
626,1581,1427,1298
1427,1298,1187,100
1187,100,1382,1350
1382,1350,178,297
178,297,457,1523
457,1523,350,139
350,139,1554,530
